Account,Transaction_Date,Transaction_Type,Num,Customer,Vendor,Memo,Cleared,Amount,Facility
,2025-11-19,Deposit,,Marrick Medical,,11/13/2025,Cleared,2315.38,Greeley
,2025-11-20,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,48.3,Greeley
,2025-11-20,Deposit,,MEDPORT,,Medport Billing   GR0592 Medport Billing   GR0592                         XXXXXX4321,Cleared,73.31,Denver
,2025-11-20,Deposit,,,MEDPORT,Medport Billing   GR0592 Medport Billing   GR0592                         XXXXXX4322,Cleared,114.91,Greeley
,2025-11-21,Deposit,,HSS,,,Cleared,3041.55,Denver
,2025-11-21,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX8399,Cleared,114.91,Greeley
,2025-11-21,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,126.38,Greeley
,2025-11-24,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,87.34,Greeley
,2025-11-24,Deposit,,,TRIO,,Cleared,146.78,Denver
,2025-11-26,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,77.58,Greeley
,2025-11-26,Deposit,,,TRIO,,Cleared,1557.73,Greeley
,2025-11-28,Deposit,,Marrick Medical,,HNB - ECHO        HCCLAIMPMT HNB - ECHO        HCCLAIMPMT                     XXXXXX5847,Cleared,147.6,Greeley
,2025-11-28,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,87.34,Greeley
,2025-11-30,Deposit,,,"Prove Partners, LLC",,,590.4,Greeley
,2025-11-30,Deposit,,,,,,292.37,Greeley
,2025-11-30,Deposit,,,,,Cleared,1177.97,Greeley
,2025-11-30,Deposit,,,,PNCBK CK WEBXFR TRANSFER PNCBK CK WEBXFR TRANSFER XXXXXX6295,Cleared,1381.67,Greeley
,2025-11-30,Deposit,,,,PNCBK CK WEBXFR   TRANSFER PNCBK CK WEBXFR   TRANSFER                       XXXXXX6295,,1381.67,Greeley
,2025-11-30,Deposit,,,,,,295.2,Greeley
,2025-11-30,Deposit,,,Marrick Medical,,Cleared,2683.38,Denver
,2025-11-30,Deposit,,Marrick Medical,,,Cleared,2895.67,Greeley
,2025-12-01,Deposit,,,TRIO,,Cleared,235.7,Denver
,2025-12-01,Deposit,,MEDPORT,,,Cleared,73.3,Denver
,2025-12-01,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,43.67,Greeley
,2025-12-02,Deposit,,HSS,,,Cleared,2113.27,Denver
,2025-12-03,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,67.57,Greeley
,2025-12-05,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,48.55,Greeley
,2025-12-05,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX4047,Cleared,820.22,Greeley
,2025-12-08,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,62.94,Greeley
,2025-12-10,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,155.16,Greeley
,2025-12-11,Deposit,,,,,Uncleared,-37.15,Greeley
